Movie Name,Overview,Release Date,Poster URL,Genre IDs,Genres
Maa,A mother and daughter encounter a demon in a village where girls have been disappearing.,2025-06-20,https://image.tmdb.org/t/p/w500/kc5n7LJUmvBsVxzAla1ONN8kouP.jpg,[27],['Horror']
Inspector Zende,"When serial killer Carl Bhojraj escapes prison and resurfaces in Mumbai, the determined Inspector Zende steps up to nab the cunning fugitive once more.",2025-09-04,https://image.tmdb.org/t/p/w500/dHGtwfVfY502veuMojfAkNbIBO9.jpg,"[35, 18, 53]","['Comedy', 'Drama', 'Thriller']"
Baaghi 4,"After waking up from a coma, a grieving man sets out to uncover the truth about his missing girlfriend.",2025-09-05,https://image.tmdb.org/t/p/w500/u2YEFW5o2Y7RAw2K4hSA4TEXF3Q.jpg,"[28, 53]","['Action', 'Thriller']"
Saiyaara,"Two artistic souls find harmony through music despite their contrasting worlds. As feelings deepen, age and circumstances challenge their undeniable bond.",2025-07-18,https://image.tmdb.org/t/p/w500/hQBIsi3ZfBYEayMc3GhcEmJVkss.jpg,"[10749, 18, 10402]","['Romance', 'Drama', 'Music']"
Sikandar,A tragic accident pushes the powerful Sikandar to protect the less fortunate by standing up to corruption and greed — using any means necessary.,2025-03-29,https://image.tmdb.org/t/p/w500/41s42CRXafa3OuRGvCtfYPEBmse.jpg,"[28, 18]","['Action', 'Drama']"
Akshardham: Operation Vajra Shakti,"NSG commando Hanut Singh, scarred by a past mission, defies orders during a temple siege in Gujarat. He leads a risky operation against terrorists demanding a militant's release, while confronting personal demons.",2025-07-04,https://image.tmdb.org/t/p/w500/ckghAN8FuYY2icUyJjVkKXiBrek.jpg,"[28, 18]","['Action', 'Drama']"
Dilwale Dulhania Le Jayenge,"Raj is a rich, carefree, happy-go-lucky second generation NRI. Simran is the daughter of Chaudhary Baldev Singh, who in spite of being an NRI is very strict about adherence to Indian values. Simran has left for India to be married to her childhood fiancé. Raj leaves for India with a mission at his hands, to claim his lady love under the noses of her whole family. Thus begins a saga.",1995-10-20,https://image.tmdb.org/t/p/w500/2CAL2433ZeIihfX1Hb2139CX0pW.jpg,"[35, 18, 10749]","['Comedy', 'Drama', 'Romance']"
Tehran,"On 13th February 2012, a magnetic bomb exploded, destroying an Israeli embassy vehicle in Delhi. ACP Rajeev Kumar, leading the investigation, suspects more than what meets the eye. Amid political pressure and suspicions of an Iranian connection, he embarks on a perilous journey to uncover the truth, facing formidable adversaries.",2025-08-14,https://image.tmdb.org/t/p/w500/gbz9Y1NwnlE2GxXmgWTKZC1fste.jpg,"[28, 53]","['Action', 'Thriller']"
King,,,https://image.tmdb.org/t/p/w500/oZNR4bFc7rS7mpdKCqj6910tWK0.jpg,"[28, 53]","['Action', 'Thriller']"
War 2,"Years ago Agent Kabir went rogue, became India’s greatest villain ever.  As he descends further into the deepest shadows... India sends its deadliest, most lethal agent after him, Agent Vikram  A Special Units Officer who is more than Kabir’s equal and a relentless Terminator driven by his own demons, determined to put a bullet into Kabir’s skull.",2025-08-13,https://image.tmdb.org/t/p/w500/tHUEGjexjpTDO3ggla9JQ6CojxU.jpg,"[28, 12, 53]","['Action', 'Adventure', 'Thriller']"
Jawan,"An emotional journey of a prison warden, driven by a personal vendetta while keeping up to a promise made years ago, recruits inmates to commit outrageous crimes that shed light on corruption and injustice, in an attempt to get even with his past,  and that leads him to an unexpected reunion.",2023-09-07,https://image.tmdb.org/t/p/w500/jFt1gS4BGHlK8xt76Y81Alp4dbt.jpg,"[28, 80, 53]","['Action', 'Crime', 'Thriller']"
Six Nine Five,Based on Ram janambhumi Struggle. Historical drama concerning the birth of Rama.,2024-01-18,https://image.tmdb.org/t/p/w500/9D3iJhGAIRPAwNtEvvY7G2iPUef.jpg,"[12, 36, 18]","['Adventure', 'History', 'Drama']"
Jewel Thief - The Heist Begins,"In this high-octane battle of wits and wills, ingenious con artist Rehan devises a diamond heist while trying to outsmart Rajan, his sadistic adversary.",2025-04-24,https://image.tmdb.org/t/p/w500/eujLbO0kf1eqWC8XpHUJdtAVW2J.jpg,"[28, 53]","['Action', 'Thriller']"
Haseena Maan Jaayegi,"Separated from their wealthy father and each other, two brothers try to win the hearts of their dream girls.",1999-06-25,https://image.tmdb.org/t/p/w500/pNZkVQOpSFkOEVRIXJGUInFNE5w.jpg,"[28, 35]","['Action', 'Comedy']"
Match Fixing - The Nation At Stake,A secret war was hatched. A fake narrative took shape. A nation was deceived. Unveil a shocking conspiracy that shook the country.,2025-01-10,https://image.tmdb.org/t/p/w500/szmEGYLFC7caihW0qrOoWgcMn5c.jpg,[18],['Drama']
Nishaanchi,"Two brothers walk starkly different paths, exploring how their choices shape their destinies.",2025-09-19,https://image.tmdb.org/t/p/w500/aDI8pTr7QDs1QnDKCKsAoEampZj.jpg,"[80, 18]","['Crime', 'Drama']"
War,"Khalid, entrusted with the task of eliminating former soldier turned rogue Kabir, engages in an epic battle with his mentor who taught him everything.",2019-10-02,https://image.tmdb.org/t/p/w500/yUtaHkL2SDIAZhRApZAyQrAXygn.jpg,"[28, 53, 12]","['Action', 'Thriller', 'Adventure']"
Animal,The hardened son of a powerful industrialist returns home after years abroad and vows to take bloody revenge on those threatening his father's life.,2023-12-01,https://image.tmdb.org/t/p/w500/hr9rjR3J0xBBKmlJ4n3gHId9ccx.jpg,"[28, 80, 18]","['Action', 'Crime', 'Drama']"
Bobby,"Raja is the 18-year-old son of a wealthy Bombay businessman who suffers from his parents coldness and neglect. Shortly after finishing school he meets Bobby, the 16-year-old daughter of a poor Christian fisherman. They fall head over heels for each other, but they'll need everything they have to defend their love as their families won't accept them marrying each other...",1973-09-28,https://image.tmdb.org/t/p/w500/n6qMnbPuq6m28ncbyS29vzoLI0H.jpg,"[18, 10749]","['Drama', 'Romance']"
Madras Cafe,An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,2013-08-23,https://image.tmdb.org/t/p/w500/3cfFqEuj2ynHUb0FTBThTh0gQB9.jpg,"[53, 18, 28]","['Thriller', 'Drama', 'Action']"
