Movie Name,Release Year,Genre,Lead Star,Director,Plot,Rating,Popularity,Poster URL
Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,"Animation, Action, Fantasy, Thriller",Natsuki Hanae,Haruo Sotozaki,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",7.646,856.2691,https://image.tmdb.org/t/p/w500/sUsVimPdA1l162FvdBIlmKBlWHx.jpg
War of the Worlds,2025,"Science Fiction, Thriller",Ice Cube,Rich Lee,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",4.335,554.7928,https://image.tmdb.org/t/p/w500/yvirUYrva23IudARHn3mMGVxWqM.jpg
Weapons,2025,"Horror, Mystery",Julia Garner,Zach Cregger,"When all but one child from the same class mysteriously vanish on the same night at exactly the same time, a community is left questioning who or what is behind their disappearance.",7.403,460.1982,https://image.tmdb.org/t/p/w500/cpf7vsRZ0MYRQcnLWteD5jK9ymT.jpg
The Conjuring: Last Rites,2025,Horror,Vera Farmiga,Michael Chaves,Paranormal investigators Ed and Lorraine Warren take on one last terrifying case involving mysterious entities they must confront.,6.629,405.6182,https://image.tmdb.org/t/p/w500/29ES27icY5CzTcMhlz1H4SdQRod.jpg
Nobody 2,2025,"Action, Thriller",Bob Odenkirk,Timo Tjahjanto,"Former assassin Hutch Mansell takes his family on a nostalgic vacation to a small-town theme park, only to be pulled back into violence when they clash with a corrupt operator, a crooked sheriff, and a ruthless crime boss.",7.29,328.7692,https://image.tmdb.org/t/p/w500/svXVRoRSu6zzFtCzkRsjZS7Lqpd.jpg
Detective Dee: The Four Heavenly Kings,2018,"Action, Fantasy, Adventure, Mystery",Mark Chao,Tsui Hark,"Dee, the detective serving Chinese empress Wu Zetian, is called upon to investigate a series of strange events in Loyang, including the appearance of mysterious warriors wearing Chiyou ghost masks, foxes that speak human language and the pillar sculptures in the palace coming alive.",6.205,296.6281,https://image.tmdb.org/t/p/w500/nZ3XTA5ZlGOj92jRBSYglW8r9QY.jpg
Get Fast,2024,"Action, Crime, Thriller",James Clayton,James Clayton,"When The Thief’s partner is kidnapped after stealing millions in cash from a merciless drug lord named Nushi, he reluctantly teams up with an angst-ridden orphan to rescue him. Nushi enlists her most trusted hitman, The Cowboy, a lovable charmer who’s quick with his guns, to track down the Thief. Guns, cars, and explosions will give the newfound partners a head start, but how long will they be able to keep it up?",5.8,242.6208,https://image.tmdb.org/t/p/w500/2MZBpW0bfQNJdWPCDM7OZetem1L.jpg
Superman,2025,"Science Fiction, Adventure, Action",David Corenswet,James Gunn,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",7.508,239.0731,https://image.tmdb.org/t/p/w500/wPLysNDLffQLOVebZQCbXJEv6E6.jpg
The Naked Gun,2025,"Comedy, Action, Crime",Liam Neeson,Akiva Schaffer,Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr.,6.723,215.7143,https://image.tmdb.org/t/p/w500/rmwQ8GsdQ1M3LtemNWLErle2nBU.jpg
The Thing Behind The Door,2023,Horror,Séverine Ferrer,Fabrice Blin,"The story of Adèle, a youg woman who’s literally haunted by the death of her husband, killed in a trench during World War One. Desperate and unable to face this tragic loss, Adèle turns to black magic in the hope to bring her lover back. The miracle will happen, but Adèle will have to pay the price for opening this Pandora Box.",5.7,204.7468,https://image.tmdb.org/t/p/w500/iFqHmF8ZSY9jOhstqeRxuzxPkFp.jpg
